id_shoot,gk_dis,pla_dis,goal_dis,goal_ang,goalkeeper_overcoming_angle,closest_player_angle,shot_body_part,shot_type,Qt_rivals_cone,Qt_teammate_cone,under_pressure,shot_first_time,shot_one_on_one,Target,shot_statsbomb_xg
86425b6c-e1db-48a1-8178-b036fcff8a15,9.599999999999994,1.3152946437965882,11.19464157532522,41.30171134790014,2.1610794882264934,10.907241750781745,Right Foot,Open Play,3,1,,True,,0,0.08918585
32ba1a6a-a81b-4b39-b7c7-0320d0f517d8,24.400819658363943,4.866210024238587,26.135416583632264,17.552522543379272,0.6363317325986071,8.35636345573707,Right Foot,Open Play,4,1,,True,,0,0.022450097
d1012125-0ca5-4b32-818c-c5c4676fa15b,10.653168542738824,1.8248287590894625,14.244297104455521,23.58619616512547,2.032901224402742,43.84266693187041,Left Foot,Open Play,1,0,,,,0,0.072824545
99f6cbe3-f0be-4399-af47-ae5704ff9237,7.764663547121668,0.9219544457292917,8.509406559801922,52.44309127322985,0.42948185017209406,32.77221813494479,Head,Open Play,1,0,True,,,0,0.08260251
816a5ec9-ba3d-4d5b-acbd-99fd2924d071,17.56359872008012,1.6643316977093257,17.741758650145147,20.690812798528366,0.9852013372022324,28.181392243232356,Right Foot,Open Play,4,0,,,,0,0.05234008
fc3ffcc3-2ad7-4306-b6a3-7f960fcd9e68,10.648004507887856,1.0440306508910542,11.569356075426157,9.112677771802225,1.9746923095697435,33.36272331688142,Right Foot,Open Play,1,0,,,True,0,0.013800931
61986eee-b08a-41d5-9b3b-51584ca12f91,11.825819210524074,1.0049875621120892,12.269066794177952,34.85706133210383,1.264157117274367,6.768478664427873,Head,Open Play,2,0,True,,,0,0.034376442
a3a8a618-bfa0-43e4-bba0-e14996b06861,28.08789774974268,4.428317965096905,28.650305408494344,13.696914929188791,0.19893348159553756,0.13733793505334618,Left Foot,Open Play,2,0,,True,,0,0.015848313
634b93f0-ff84-414e-94fe-27d1c8a90d2d,9.620810776644554,1.1401754250991336,18.264993840677857,21.889003744615724,0.8310290988859992,143.21840146399248,Right Foot,Open Play,1,0,,,True,0,0.2496513
0cd9b2ac-add9-44d0-b5f6-aff8b13d7f50,18.74166481399131,1.7262676501632046,19.070920271449932,9.106557599367788,1.661086337807763,15.989804965778331,Right Foot,Open Play,1,0,,,,0,0.006740918
bd1e5ba7-26b4-4660-a7a0-a991470eb603,1.8601075237738325,1.8601075237738325,3.764306044943746,102.23298546869475,82.63274402946567,82.63274402946567,Right Foot,Open Play,0,0,True,True,,1,0.6177259
a1741202-e07b-445c-af29-15f6b229a619,9.25904962725657,1.1401754250991385,8.655634003352958,19.32920232461508,0.17550003703028946,12.592459556730459,Left Foot,Open Play,1,0,,True,,0,0.053655934
4443235f-69e2-4609-b8cf-292c7959a50b,9.079647570252932,5.586591089385368,10.720074626605923,41.475971416125766,0.07216089322663329,128.0584200372451,Head,Open Play,1,0,,,True,0,0.15060952
